cod_IBGE,Macrorregião,Município,UF,Capital,RM / RIDE,CAD0002,CAD0003,CAD0005,CAD0006,DFE0001,DFE0002,DFE0003,CAD2001,CAD2002,CAD2002A,CAD2003,CAD2004,CAD2004A,CAD2005,CAD2006,GTA0001,GTA0002,GTA0003,GTA0004,GTA0005,GTA0006,GTA0007,GTA0008,GTA0009,GTA0010,GTA0011,GTA0012,GTA0013,GTA0014,GTA0015,GTA0016,GTA0017,GTA0018,GTA0999,GTA1001,GTA1002,GTA1003,GTA1004,GTA1005,GTA1009,GTA1013,GTA1014,GTA1101,GTA1102,GTA1103,GTA1203,GTA1204,GTA1205,GTA1206,GTA1207,GTA1208,GTA1209,GTA1210,GTA1211,GTA1212,GTA1213,GTA1214,GTA1215,GTA1216,GTA1217,GTA1218,GTA1219,GTA1220,GTA1221,GTA1301,GTA1999,GTA3001,GTA3002,GTA3003,GTA3004,GTA3004A,GTA3005,GTA3006,GTA3101,GTA3102,GTA3103,GTA3104,GTA3106,GTA3107,GTA3109,GTA3999
1100155,Norte,Ouro Preto do Oeste,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,35392,26296,9096,Com delegação atendendo Sede e Localidades - DSL,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,30/03/2012,30/03/2042,23140,206,8577,8558,2334,0,0,8866,8351,8847,8334,2501,2238,2933,79,67,198,16566,NA,1785.6,1785.6,0,0,0,0,0,1785.6,7.52,103,12,0,0,0,0,0,850,1072.11,99.97,1172.08,1044.36,97.62,1141.98,93.28,8.93,102.21,511.31,1288.48,0,1409.23,1349.87,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",1,8945,0,NA,NA,0,0,187,1608,1608,2412,358,358,Sim,NA
1100189,Norte,Pimenta Bueno,RO,NA,NA,Empresa privada,Local,Águas de Pimenta Bueno Saneamento SPE LTDA,APB,35431,30816,4615,Com delegação atendendo Sede e Localidades - DSL,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,14/03/2016,14/03/2046,30816,0,12315,11080,1234,0,1042,13182,11071,11873,11069,1307,1214,NA,0,0,0,NA,NA,2782.84,2782.84,0,2782.84,2782.84,0,0,2782.84,NA,204,NA,0,70.15,5.04,0,75.19,1898,2009.97,254.7,2264.67,1826.49,215.86,2042.35,NA,NA,NA,442.98,240.93,0,2257.97,1815,NA,1,12046,0,NA,NA,0,NA,538,295,294,48,552,531,Sim,NA
1100205,Norte,Porto Velho,RO,Sim,RM de Porto Velho (RO),Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,465066,424049,41017,Com delegação atendendo Sede e Localidades - DSL,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,29/07/2009,29/07/2039,155960,6911,44397,31114,23429,0,0,51814,47983,37852,34528,31953,27183,20425,2529,2296,1946,205345,NA,22633.46,15216.78,7416.68,0,0,0,0,22633.46,15.91,943.02,10,0,0,3243.03,0,3243.03,9926,9628.89,1034.09,10662.98,4587.59,937.24,5524.83,579.02,113.17,692.19,8035.26,7439.32,0,8614.7,19048.87,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada, os volumes informaados são os reais que ocorreream em 2023",94,5119804,365,Insuficiência de sistema de produção,NA,9940045,2,1776,4241,3025,9075,363,89,Sim,NA
1100254,Norte,Presidente Médici,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,19517,11633,7884,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,13/07/2011,13/07/2031,11515,568,4162,4159,910,0,0,4313,4004,4310,4002,941,810,526,235,213,344,9562,NA,1140.48,1140.48,0,0,0,0,0,1140.48,4.8,79.83,9,0,0,0,0,0,742,572.05,61.77,633.82,563.33,61.3,624.63,49.28,5.7,54.98,451.68,656.66,0,732.7,436.37,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",7,31836,0,NA,NA,0,0,30,713,733,1099,139,139,Sim,Nem todo o vazamento reparado foi proveniente de uma reclamação
1100262,Norte,Rio Crespo,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,3506,1125,2381,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,11/02/2012,11/02/2042,634,0,222,218,248,0,0,230,195,223,189,254,232,63,0,0,0,1780,NA,51.84,51.84,0,0,0,0,0,51.84,2,9.66,10,0,0,0,0,0,110,27.11,7.39,34.5,26.89,7.28,34.17,2.8,0.26,3.06,14.28,31.67,0,40.27,49.41,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",2,460,0,NA,NA,0,1,24,24,24,18,34,34,Sim,NA
1100288,Norte,Rolim de Moura,RO,NA,NA,Empresa privada,Local,Águas de Rolim de Moura Saneamento SPE LTDA,ARM,56975,46604,10371,Com delegação atendendo Sede e Localidades - DSL,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,30/06/2017,30/06/2045,46604,0,17998,16083,1913,17996,NA,19095,15743,17055,15741,2072,1888,1713,0,0,0,NA,NA,4198.74,4117.73,81.01,4198.74,4198.74,0,0,4198.74,NA,343,NA,0,42.72,10.04,0,52.76,3000,2504.66,360.34,2865,2501.87,359.62,2861.49,NA,NA,NA,1280.98,2773.97,0,3189.55,2135,NA,0,0,0,NA,NA,0,0,933,144,144,52,928,860,Sim,NA
1100296,Norte,Santa Luzia D Oeste,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,7492,3815,3677,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,16/11/2020,16/11/2050,3427,0,1249,1249,411,0,0,1279,1164,1279,1164,423,361,173,0,0,0,3608,NA,345.6,345.6,0,0,0,0,0,345.6,0.27,24.69,8,0,0,0,0,0,345,137.05,16.38,153.43,136.88,16.38,153.26,12.14,1.73,13.87,178.3,169.87,0,190.85,171.59,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",16,20464,0,NA,NA,0,0,36,296,296,180,45,45,Sim,Nem todo o vazamento reparado foi proveniente de uma reclamação
1100304,Norte,Vilhena,RO,NA,NA,Autarquia,Local,Serviço Autônomo de Águas e Esgotos,SAAE,96808,91747,5061,Sede e localidades,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,12/06/1997,NA,90601,1399,42200,22718,2908,0,0,42200,37863,23877,23877,2908,2908,0,710,710,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6028,6,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9821.7,2443,NA,0,0,0,NA,NA,0,NA,573,3930,3567,3000,1463,1377,Sim,Atualmente é utilizado como canal de atendimento junto ao cidadão para recebimento de reclamações ou manifestações sobre os serviços de abastecimento de água: ligações telefônicas bem como o uso de aplicativo de conversas (whatsapp).
1100320,Norte,São Miguel do Guaporé,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,21851,8479,13372,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,5298,0,1890,1480,1086,0,0,1941,1669,1529,1282,1134,996,271,0,0,0,4079,NA,518.4,518.4,0,0,0,0,0,518.4,5,75.27,8,0,0,0,0,0,493,205.69,57.07,262.76,181.21,55.32,236.53,23.15,2.59,25.74,229.9,235.28,0,303.52,297.59,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",0,0,0,NA,NA,0,0,0,263,263,394,0,0,Sim,Não houveram reclamações de falta de água
1100338,Norte,Nova Mamoré,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,25701,14896,10805,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,3570,0,1146,1143,696,0,0,1190,1006,1187,1004,741,623,22,0,0,0,6989,NA,429.6,429.6,0,0,0,0,0,429.6,0.34,21.75,10,0,0,0,0,0,5,148.75,31.97,180.72,147.78,31.9,179.68,14.37,2.15,16.52,232.36,169.76,0,209.48,230.24,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada, o sistema não possui reservação somente o informado",15,17850,0,NA,NA,0,0,21,61,86,129,31,31,Sim,Nem todo o vazamento reparado foi proveniente de uma reclamação
1100346,Norte,Alvorada D Oeste,RO,NA,NA,Autarquia,Local,Serviço Autônomo de Água e Esgoto,SAAE,13245,6935,6310,Sede e localidades,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,27/07/1990,NA,6860,585,3274,2907,1179,2907,4453,3107,3107,2907,2866,NA,NA,NA,167,0,36,NA,NA,705.6,705.6,0,0,0,0,0,705.6,5000,100,NA,0,0,0,0,0,500,621,0,621,0,0,0,NA,NA,NA,84.6,0,0,100,470245,NA,3,3500,3,Outro (especificar),cano de distribuição quebrado,3500,NA,30,61,61,100,74,74,Sim,NA
1100379,Norte,Alto Alegre dos Parecis,RO,NA,NA,Autarquia,Local,Sistema Autônomo de Água e Esgoto,SAAE,11593,3308,8285,Sede e localidades,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,20/10/2005,NA,3308,121,1350,1350,452,1350,1350,1350,1350,1350,1337,452,452,1350,121,32,32,NA,NA,532,472,0,0,400,0,0,532,NA,40,NA,0,1,0,0,1,370,300,200,500,300,200,500,NA,NA,NA,31,300,0,532,300,NA,3,1350,0,NA,NA,0,0,30,120,100,320,200,200,Sim,NA
1100403,Norte,Alto Paraíso,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,16483,7890,8593,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,04/12/2015,04/12/2035,1885,0,652,650,511,0,0,666,578,664,577,545,463,2639,0,0,0,7623,NA,207.36,207.36,0,0,0,0,0,207.36,5.02,35.51,20,0,0,0,0,0,263,81.1,13.28,94.38,75.11,13.09,88.2,7.49,1.04,8.53,104.45,92.88,0,109.42,31.97,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",9,5994,365,Outro (especificar),O sistema opera 8 h por dia sendo suficiente para o abastecimento da população,237250,0,33,12,12,6,85,85,Sim,As paralisações com falta de água foram em função de falta de energia
1100452,Norte,Buritis,RO,NA,NA,Empresa privada,Local,Águas de Buritis S.A.,ABU,28268,15819,12449,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,28/04/2015,28/04/2045,15344,0,3792,3112,2662,0,NA,3915,3266,3222,2486,2674,NA,NA,0,0,NA,0,NA,489.02,489.02,0,489.02,489.02,0,0,489.02,NA,173,NA,0,13.3,2.29,0,15.59,2000,292.14,126.27,418.41,285.15,123.96,409.11,NA,NA,NA,55.02,398.85,0,489.02,4559,NA,0,0,0,NA,NA,0,NA,277,NA,149,110,933,899,Sim,NA
1100502,Norte,Novo Horizonte do Oeste,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,7742,1310,6432,Sem delegação atendendo Sede e Localidades - SDSL,NA,NA,Integral,NA,NA,NA,NA,1310,465,867,867,261,0,0,872,787,872,787,264,213,54,170,153,64,3994,NA,172.8,172.8,0,0,0,0,0,172.8,0.08,18.9,10,0,0,0,0,0,116,102.23,11.23,113.46,100.56,11.05,111.61,19.21,0.86,20.07,39.27,120.89,0,136.93,109.49,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",36,37512,365,Outro (especificar),"Sistema opera 12 a 20 h por dia, de acordo com a época do ano, sendo suficiente para o abast da pop",380330,0,18,124,124,38,34,34,Sim,NA
1100601,Norte,Cacaulândia,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,4190,1511,2679,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,29/05/2015,29/05/2030,815,0,287,284,279,0,0,291,267,288,265,282,267,418,0,0,0,2292,NA,60.46,60.46,0,0,0,0,0,60.46,5.73,15.36,20,0,0,0,0,0,117,38.48,4.12,42.6,36.78,4.04,40.82,3.04,0.3,3.34,14.52,44.87,0,50.26,16.3,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",7,2037,365,Outro (especificar),O sistema opera 7 h por dia sendo suficiente para o abastecimento da população,106215,0,10,10,15,8,20,20,Sim,As paralisações com falta de água foram em função de falta de energia. Nem todo o vazamento reparado foi proveniente de uma reclamação
1100700,Norte,Campo Novo de Rondônia,RO,NA,NA,Município,Local,Prefeitura Municipal de Campo Novo de Rondônia,PMCNRO,8930,2377,6553,Sede,Prestação direta por órgão da administração pública direta,NA,Integral,NA,NA,NA,NA,2377,0,1126,1126,53,1179,129,1179,0,1179,0,76,0,1126,0,0,NA,NA,NA,900,730,0,0,0,0,0,900,NA,18,NA,0,15,0,35,50,9657,380,325,705,350,315,665,95.88,3.65,99.53,45.47,0,0,0,10238,NA,0,0,0,NA,NA,0,NA,45,38,38,76,28,28,Sim,NA
1100809,Norte,Candeias do Jamari,RO,NA,RM de Porto Velho (RO),Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,22535,14683,7852,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,30/03/2012,30/03/2042,11643,0,3729,3422,1117,0,0,3881,3746,3570,3442,1222,1075,975,0,0,0,11082,NA,858.24,0,858.24,0,0,0,0,858.24,1.66,45.88,10,0,0,0,0,0,162,465.95,34.37,500.32,422.9,33.07,455.97,40.08,4.29,44.37,313.55,582.22,0,621.97,689.69,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada, o sistema praticamente não tem reservação somente o informado",4,15524,0,NA,NA,0,1,280,358,251,188,28,28,Sim,GTA3006 este colapso foi somente nos poço tubulares profundos do Sistema Palheral
1100908,Norte,Castanheiras,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,3266,764,2502,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,22/02/2021,22/02/2051,764,0,302,302,160,0,0,307,273,307,273,164,140,80,0,0,0,1765,NA,60.48,60.48,0,0,0,0,0,60.48,1.21,7.88,9,0,0,0,0,0,110,30.47,8.95,39.42,29.09,5.7,34.79,2.84,3,5.84,15.22,39.38,0,47.47,46.13,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",7,2149,0,NA,NA,0,0,0,9,9,8,5,4,Sim,Foi confirmado com o gerente do sistema e não houveram reclamações de falta de água no de 2023
1100924,Norte,Chupinguaia,RO,NA,NA,Município,Local,Prefeitura Municipal de Chupinguaia,PMC,9418,4156,5262,Sede e localidades,Prestação direta por órgão da administração pública direta,NA,Integral,NA,NA,NA,NA,4156,1890,1991,1991,536,2441,NA,1613,1613,1991,1613,536,NA,NA,378,378,159,NA,NA,1000,0,0,0,0,0,0,1000,NA,50,3,0,2,1,2,5,320,120,60,180,0,0,0,NA,NA,NA,815,180,0,180,1864932,NA,52,2800,0,NA,NA,0,NA,1000,200,62,120,48,48,Não,NA
1100940,Norte,Cujubim,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,15011,10456,4555,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,15/04/2015,15/04/2045,2020,0,662,632,644,0,0,709,585,679,555,701,626,100,0,0,0,7659,NA,182.16,182.16,0,0,0,0,0,182.16,1.94,17.24,10,0,0,0,0,0,111,92.76,20.85,113.61,86.16,20.65,106.81,8.99,0.91,9.9,58.65,104.05,0,129.63,216.13,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",0,0,0,NA,NA,0,0,0,98,98,147,27,27,Sim,Foi confirmado com o gerente do sistema e não houveram reclamações de falta de água no de 2023
1101005,Norte,Governador Jorge Teixeira,RO,NA,NA,Município,Local,Prefeitura Municipal de Governador Jorge Teixeira,RO,8080,1815,6265,Sede,Prestação direta por órgão da administração pública direta,NA,Integral,NA,NA,NA,NA,150,0,60,0,0,0,NA,60,60,0,0,0,0,NA,0,0,NA,NA,NA,16,0,16,5,3,0,0,16,NA,6,NA,0,0.3,0.1,0,0.4,100,10,0,10,0,0,0,3,1,4,1.6,0,0,0,0,NA,0,0,0,NA,NA,0,NA,10,9,9,20,10,6,Não,NA
